keyword,frequency
battery life,349
samsung gear,344
samsung watch,286
galaxy watch,222
samsung galaxy,144
heart rate,127
smart watch,123
gear fit,109
samsung galaxy watch,91
watch faces,74
apple watch,73
samsung gear fit,69
samsung phone,61
watch samsung,60
watch face,58
wear os,52
blood pressure,49
samsung watches,40
buy samsung,40
android wear,40
sleep tracking,40
customer service,37
don know,37
stopped working,37
samsung health,36
sound quality,36
watch active,36
bought watch,35
phone calls,35
waste money,34
